instance_name,application_freq,Desired_Count,Run_Count,success_count,Missed_Additional
"BNK_SBI_Yono_2.0_Within_Bank_Fund_Transfer_Web","15","960","977","819","-141"
"BNK_SBI_Yono_2.0_Yono_Cash_Android","15","960","1227","1065","105"
"BNK_SBI_Yono_2.0_Yono_Cash_iOS","15","960","1010","907","-53"
"BNK_Tamilnadu_Grama_Bank_Web","15","960","1012","906","-54"
"BNK_TNGB_Android","15","960","1015","911","-49"
"BNK_Utkarsh_Account_Statement_Web","15","960","1092","839","-121"
"BNK_Utkarsh_Accounts_Statement_Journey_Android","15","960","1135","909","-51"
"BNK_Utkarsh_Accounts_Statement_Journey_iOS","15","960","1024","850","-110"
"BNK_Utkarsh_AddBeneficiary_Journey_Android","15","960","1145","881","-79"
"BNK_Utkarsh_Bank_Android","15","960","1066","905","-55"
"BNK_Utkarsh_Bank_Retail_Web","15","960","1080","877","-83"
"BNK_Utkarsh_BBPS_Journey_Android","15","960","1128","860","-100"
"BNK_Utkarsh_CIB_Checker_Journey_Web","15","960","935","898","-62"
"BNK_Utkarsh_CIB_Maker_Journey_Web","15","960","1013","913","-47"
"BNK_Utkarsh_Debit_Card_Limit_Modification_Journey_Android","15","960","1168","901","-59"
"BNK_Utkarsh_Debit_Card_Limit_Modification_Journey_iOS","15","960","1045","825","-135"
"BNK_Utkarsh_EKYC_Journey_Web","15","960","964","947","-13"
"BNK_Utkarsh_NEFT_Transfer_Web","15","960","1121","837","-123"
"BNK_Utkarsh_WhatsApp_BOT_Android","15","960","1037","924","-36"
"BNK_Utkarsh_Within_Account_Transfer_Web","15","960","1058","862","-98"
"BNK_Yes_Bank_IGTB_Corporate_Checker_Web","15","960","901","838","-122"
"BNK_Yes_Bank_IGTB_Corporate_Login_Logout_Android","15","960","1180","810","-150"
"BNK_Yes_Bank_IGTB_Corporate_Login_Logout_Web","15","960","1005","898","-62"
"BNK_Yes_Bank_IGTB_Corporate_Maker_Web","15","960","1085","858","-102"
"BNK_Yes_Business_IMPS_Bulk_Transfer_Checker_Web","15","960","853","812","-148"
"BNK_Yes_Business_IMPS_Bulk_Transfer_Maker_Web","15","960","880","850","-110"
